src,mar_Deva,hin_Deva
"Mom, let's go for a movie tomorrow.","आई, उद्या आपण एखादा सिनेमा बघायला जाऊया.","माँ, चलो कल एक फिल्म देखने चलते हैं।"
I don't have to go to school.,मला शाळेत जायचं नाहीये.,मुझे कल स्कूल नहीं जाना है।
It is a holiday.,उद्या सुट्टी आहे.,छुट्टी है।
"Oh, tomorrow is the 14th of April right?","ओहो, उद्या १४ एप्रिल हो ना?","ओह, कल 14 अप्रैल है न?"
Your dad will also have the day off from work.,तुझ्या बाबांना सुद्धा उद्या सुट्टी राहील.,कल तुम्हारे पिताजी की भी छुट्टी होगी।
We can make a movie plan!,आपण सिनेमाला जायचं ठरवू शकतो.,हम फिल्म देखने का प्लान बना सकते हैं!
That's a good news!,हे फारच छान.,यह तो अच्छी खबर है!
Why is it a holiday though?,पण सुट्टी कशासाठी आहे?,पर इस दिन छुट्टी क्यों है?
"Are all schools, colleges and offices closed tomorrow?","उद्या सर्व शाळा, महाविद्यालये आणि कार्यालये बंद आहेत का?","क्या सभी स्कूल, कॉलेज और ऑफिस कल बंद रहेंगे?"
It is Ambedkar Jayanti tomorrow!,उद्या आंबेडकर जयंती आहे.,कल अंबेडकर जयंती है!
This day is celebrated annually to mark the birth of Dr. B. R Ambedkar.,हा दिवस दरवर्षी डॉ.बी.आर.आंबेडकर यांचा जन्मदिवस म्हणून साजरा केला जातो.,इस दिन को हर वर्ष बी.आर. अंबेडकर के जन्म के उपलक्ष में मनाया जाता है।
Have you heard of him?,तू त्यांच्याबद्दल ऐकलं आहेस का?,क्या तुमने उनके बारे में सुना है?
I think I have seen him in my History and Civics book.,मला वाटतं मी त्यांना माझ्या इतिहासाच्या आणि नागरिकशास्त्राच्या पुस्तकात बघितलं आहे.,मेरे खयाल से इन्हें मैंने अपनी हिस्ट्री और सिविक्स की किताब में देखा है।
Is he related to our Constitution?,त्यांंचा आपल्या राज्यघटनेशी संबंध आहे का?,क्या वे हमारे संविधान से संबंध रखते हैं?
Absolutely! He is known as the father of the Indian Constitution.,अगदी बरोबर! त्यांना भारताच्या राज्यघटनेचे जनक म्हटले जाते.,बिलकुल सही! उन्हें भारतीय संविधान का जनक कहा जाता है।
He was a civil rights activist who played a major role in formulating the Constitution.,ते नागरी हक्क चळवळीचे क्रियाशील सभासद होते ज्यांनी राज्यघटना तयार करण्यात मोठी भूमिका बजावली.,वे नागरिक अधिकारों के लिए लड़ने वाले कार्यकर्ता था जिन्होंने संविधान तैयार करने में महत्वपूर्ण भूमिका निभाई थी।
He played a crucial part in shaping the vibrant democratic structure that India prides itself upon.,भारताला जिचा अभिमान वाटतो अशा चैतन्यपूर्ण लोकशाही रचनेला आकार देण्यात त्यांनी महत्वाची भूमिका निभावली.,उन्होंने उस जीवंत प्रजातांत्रिक स्वरूप को आकार देने में महत्वपूर्ण भूमिका निभाई जिस पर भारत को गर्व है।
I remember now!,आता मला आठवले.,मुझे अब याद आया!
