src,prediction_mar,prediction_hin,gt_mar,gt_hin
"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","दिसणे म्हणजे सेवेतील व्यक्तीशी संबंधित गुणधर्मांचा एक समूह आहे, जसे की त्यांचे बूट, कपडे, टाय, दागिने, केशरचना, मेकअप, घड्याळ, सौंदर्यप्रसाधने, अत्तर इ.","उपस्थिति सेवा करने वाले व्यक्ति से संबंधित विशेषताओं का एक समूह है, जैसे उनके जूते, कपड़े, टाई, आभूषण, केशविन्यास, मेकअप, घड़ी, सौंदर्य प्रसाधन, इत्र आदि।","रूप म्हणजे, सेवेतील व्यक्तीशी संबंधित बूट, कपडे, टाय, दागिने, केशरचना, मेक-अप, घड्याळ, सौंदर्यप्रसाधने, अत्तर अशा अनेक विशेषतांचा समुच्चय असतो.","सेवा संबंधी लोगों के लिए भेष कई गुणों का संयोजन है, जैसे कि उनके जूते, कपड़े, टाई, आभूषण, केश शैली, मेक-अप, घड़ी, कॉस्मेटिक, इत्र, आदि।"
"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",महाराष्ट्रातील औरंगाबाद जिल्ह्यात असलेल्या अजिंठामध्ये सामान्य युगपूर्व पहिल्या शतकापासून ते सामान्य युगपूर्व पाचव्या शतकापर्यंतच्या शिल्पे आणि चित्रांनी सुशोभित केलेल्या एकोणवीस चैत्या आणि विहार गुहा आहेत.,महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उनतीस चैत्य और विहार गुफाएँ हैं जिन्हें पहली शताब्दी ईसा पूर्व से लेकर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों और चित्रों से सजाया गया है।,"महाराष्ट्राच्या औरंगाबाद जिल्ह्यातील अजिंठ्यात, इ. स. पू. पहिल्या शतकापासून ते इ. स. पाचव्या शतकापर्यंतच्या शिल्पकृती आणि चित्रे यांनी सजविलेली एकोणतीस चैत्य आणि विहार लेणी आहेत.",महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई.पू. से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं।
"Body colour gets merged with the outer line, creating the effect of volume.","शरीराचा रंग बाहेरील रेषेमध्ये विलीन होतो, ज्यामुळे आकारमानाचा प्रभाव निर्माण होतो.","शरीर का रंग बाहरी रेखा के साथ मिल जाता है, जिससे आयतन का प्रभाव पैदा होता है।",शारीर रंग बाह्यरेषेत विलीन होत असल्याने भरीवपणाचा परिणाम तयार होतो.,"विस्तार का असर बनाते हुए, शरीर का रंग बाहरी रेखा में घुल-मिल जाता है।"
"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","अशोकाने शिल्पे आणि महान स्मारकांसाठी दगडाचा मोठ्या प्रमाणात वापर करण्यास सुरुवात केली, तर पूर्वीच्या परंपरेत लाकूड आणि चिकणमातीने काम करणे समाविष्ट होते.","अशोक ने मूर्तियों और महान स्मारकों के लिए पत्थर का व्यापक उपयोग करना शुरू कर दिया, जबकि पिछली परंपरा में लकड़ी और मिट्टी के साथ काम करना शामिल था।","अशोकाने शिल्पकृती आणि मोठ्या वास्तूंसाठी दगडांचा मुबलक वापर करायला सुरुवात केली, मात्र, पूर्वीच्या परंपरेत लाकूड आणि चिकणमातीच्या कामाचाच समावेश असे.","अशोक ने व्यापक रूप से मूर्तियों और शानदार स्मारकों को बनाने के लिए पत्थर का प्रयोग करना शुरू किया, जबकि उससे पहले पारंपरिक रूप से लकड़ी और मिट्टी का प्रयोग किया जाता है।"
"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","मसाल्यांमध्ये मिसळलेले बटाटे, बेसनच्या पिठात लेप केलेले आणि परिपूर्णतेला तळलेले हे महाराष्ट्रातील हा स्वादिष्ट आणि प्रसिद्ध पदार्थ बनवतात.","मसालों में मिश्रित आलू, बेसन के घोल में लेपित और पूरी तरह से तला हुआ महाराष्ट्र का यह स्वादिष्ट और प्रसिद्ध व्यंजन है।","मसाल्यांत मिसळलेले बटाटे बेसनाच्या पातळ पिठात घोळवून, खूप तेलात पूर्ण तळून महाराष्ट्राचा हा चवदार आणि प्रसिद्ध खाद्यपदार्थ तयार होतो.","महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है।"
"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","चेट्टीनाड पाककला ही तामिळनाडू राज्याच्या चेट्टीनाड प्रदेशातील नट्टुकोटाई चेट्टियार किंवा नागरथार नावाच्या समुदायाची पाककला आहे, ज्याला ते स्वतःला म्हणतात.","चेट्टीनाड व्यंजन तमिलनाडु राज्य के चेट्टीनाड क्षेत्र के नट्टुकोटाई चेट्टियार या नागरथार नामक समुदाय का व्यंजन है, जैसा कि वे खुद को कहते हैं।","चेट्टिनाड पाककला ही तामीळनाडू राज्याच्या चेट्टीनाड प्रदेशातील, नट्टुकोटई चेट्टियार किंवा, ते स्वतःला संबोधतात त्याप्रमाणे, नगरथार नामक समुदायाची पाककला आहे.",चेट्टिनाड भोजन तमिल नाडु के चेट्टिनाड क्षेत्र के नाट्टूकोटाई चेट्टियार नामक समुदाय या खुद को नागारथार कहने वालों का भोजन है।
"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","दालचिनी ही मूळची भारतातील आहे आणि म्हणून, त्याचा वापर स्वादवर्धक घटकापासून ते औषधी घटकापर्यंत असतो.",दालचीनी भारत की मूल निवासी है और इसका उपयोग स्वाद देने वाले एजेंट से लेकर औषधीय एजेंट तक होता है।,"दालचिनी ही मुळात भारतातील आहे, आणि त्यामुळे तिचा वापर चव आणण्यासाठीचा घटक ते औषधी घटक, असा व्यापकरित्या होतो.",दालचीनी मूल रूप से भारत की है और इस रूप में इसका प्रयोग स्वादिष्टकारक से लेकर औषधीय कारक के रूप में किया जाता है।
Make this into powder with a dry grinder or in a stone pestle.,हे कोरड्या ग्राइंडरने किंवा दगडी मुळाशी पूडमध्ये बनवा.,इसे सूखे ग्राइंडर से या पत्थर के मूसे से पाउडर में बना लें।.,कोरड्या जात्यामध्ये किंवा दगडी खलबत्त्यामध्ये त्याची पूड तयार करा.,सूखे ग्राइंडर में या फिर पत्थर के मूसल में इसका चूर्ण बना लें।
"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","पंजाबमधील प्रत्येक शहराला वेगवेगळी प्राधान्ये आहेत, जसे की अमृतसरमधील लोकांना अमृतसरी, कुल्चे, भरलेले पराठे आणि दुग्धजन्य पदार्थांची विशेष आवड आहे.","पंजाब के प्रत्येक शहर की अलग-अलग प्राथमिकताएँ हैं, जैसे कि अमृतसर के लोग विशेष रूप से अमृतसरी कुल्चे, भरे हुए पराठे और दूध उत्पादों के शौकीन हैं।","पंजाबमधील प्रत्येक शहराची प्राधान्ये वेगवेगळी आहेत, जसे, अमृतसरचे लोक हे अमृतसरी कुलचे, भरलेले पराठे आणि दुग्धजन्य पदार्थ यांचे विशेष चाहते आहेत.","पंजाब के हर शहर की अपनी पसंद है, जैसे कि अमृतसर के लोग विशेष रूप से अमृतसरी कुलचे, भरवां पराठें और दूध के उत्पाद पसंद करते हैं।"
"Send Rama with the sage, and send Lakshmana too.",ऋषींसोबत रामाला पाठवा आणि लक्ष्मणालाही पाठवा.,"राम को ऋषि के साथ भेजें, और लक्ष्मण को भी भेजें।",मुनींसोबत रामाला पाठवावे आणि लक्ष्मणाला देखील पाठवावे.,"राम को ऋषि के साथ भेज दो, और लक्ष्मण को भी भेज दो।"
But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,पण मंगल पांडेचे हे धाडसी कृत्य एका उच्च आणि उदात्त तत्त्वाच्या भक्तीतून केले गेले.,लेकिन मंगल पांडे का साहसिक कार्य एक उच्च और महान सिद्धांत के प्रति समर्पण के माध्यम से किया गया था।,पण मंगल पांडेची शौर्यशाली कृती ही एका उच्च आणि उदात्त तत्त्वाप्रतिच्या समर्पणातून केली गेली होती.,परंतु मंगल पांडे ने यह साहसिक कारनामा एक ऊँचे और श्रेष्ठ सिद्धांत के प्रति समर्पण के लिए किया।
