src,prediction,gt,gemini,cfilt
Chanting the choir raised the volume as the celebrant intoned the prayer.,उत्सवी गायकांनी प्रार्थनेचा उच्चार केल्याने गायकवृंदाचा जप केल्याने ध्वनीमुद्रात वाढ झाली.,"जल्लोष करणाऱ्या व्यक्तीने प्रार्थनेचा उच्चार करताच, गायनाने आवाज वाढवला.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला.","उत्सवी प्रार्थनेचा उच्चार करत असताना, जप करत, गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.",जन्मानंतर लगेचच अस्तित्वात असलेल्या चारही पायांमध्ये लंगडेपणा दर्शविणाऱ्या सहा महिन्यांच्या वासराला तपासणीसाठी सादर करण्यात आले.,जन्मानंतर लगेचच अस्तित्वात असलेल्या चारही पायांमध्ये लंगडेपणा दर्शविणारा सहा महिन्यांचा वासर तपासणीसाठी सादर करण्यात आला.,"तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता.",जन्मानंतर लगेचच अस्तित्वात असलेल्या चारही पायांमध्ये लंगडेपणा दर्शविणारा सहा महिन्यांचा एक वासर तपासणीसाठी सादर करण्यात आला.
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,नियोजन अधिकाऱ्यांनी छोट्या व्यवसायांसाठी पर्यायी ठिकाणे उपलब्ध करून दिली पाहिजेत जी निवासी भागात आक्षेपार्ह आहेत किंवा असतील.,नियोजन अधिकाऱ्यांनी छोट्या व्यवसायांसाठी पर्यायी ठिकाणे उपलब्ध करून दिली पाहिजेत जी निवासी भागात आक्षेपार्ह आहेत किंवा असतील.,"नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील.","नियोजन अधिकाऱ्यांनी छोट्या व्यवसायांसाठी पर्यायी ठिकाणे पुरवली पाहिजेत, जी निवासी क्षेत्रात आक्षेपार्ह असतील किंवा असतील."
As the machine develops the forms we use to record data from past projects will be amended.,जसजसे मशीन विकसित होईल तसतसे आम्ही मागील प्रकल्पांमधील डेटा रेकॉर्ड करण्यासाठी वापरत असलेल्या फॉर्ममध्ये सुधारणा केली जाईल.,"जसजसे यंत्र विकसित होईल तसतसे, मागील प्रकल्पांमधील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेल्या फॉर्ममध्ये सुधारणा केली जाईल.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील.","जसजसे मशीन विकसित होईल, तसतसे मागील प्रकल्पांमधील डेटा रेकॉर्ड करण्यासाठी आपण वापरत असलेले फॉर्म सुधारित केले जातील."
"As mentioned, first impressions can be misleading.","नमूद केल्याप्रमाणे, पहिली छाप दिशाभूल करणारी असू शकते.","आधी नमूद केल्याप्रमाणे, छाप दिशाभूल करणारी असू शकतात.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते.","प्रथम नमूद केल्याप्रमाणे, छाप दिशाभूल करणारे असू शकतात."
To get a clean assembly load the assembled equals table before the assembly is run.,स्वच्छ असेंब्ली लोड मिळविण्यासाठी असेंब्ली चालवण्यापूर्वी असेंबल केलेले समान टेबल.,"स्वच्छ असेंब्ली मिळविण्यासाठी, असेंब्ली चालवण्यापूर्वी एकत्रित केलेले समान टेबल लोड करा.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा.","एक स्वच्छ असेंब्ली मिळविण्यासाठी, असेंब्ली कार्यान्वित होण्यापूर्वी असेंबल केलेले समान टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,"मान्य केलेल्या तारखांपासून लक्षणीय विचलनांची माहिती देण्यास कार्यकारी विलंब करतात. त्यामुळे ही कारवाई वेळेवर केली जाऊ शकत नाही, असे सांगण्यात आले.","मान्य केलेल्या तारखांपासून लक्षणीय विचलनांची माहिती देण्यास कार्यकारी विलंब करतात. यामुळे, वेळेवर कारवाई केली जाऊ शकत नाही.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.,मान्य केलेल्या तारखांपासून लक्षणीय विचलनांची माहिती देण्यास कार्यकारी विलंब करतात. यामुळे वेळेवर कारवाई होऊ शकत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"हे ग्लायकेन्स प्रथिनांमध्ये खराबरित्या हस्तांतरित केले जातात, परिणामी रिक्त ग्लायकोसिलेशन सिक्वांस तयार होतात.","हे ग्लायकेन्स प्रथिनांमध्ये खराबरित्या हस्तांतरित केले जातात, परिणामी रिक्त ग्लायकोसिलेशन सिक्वोन्स तयार होतात.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात.","हे ग्लायकेन्स प्रथिनांमध्ये कमी प्रमाणात हस्तांतरित केले जातात, परिणामी रिक्त ग्लायकोसिलेशन सीक्वांस तयार होतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","एक्स हा अर्धशिशीसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची कृती जलद सुरू होते.","एक्स हा अर्धशिशीसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची कृती जलद गतीने सुरू होते.","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते.","एक्स हा अर्धशिशीसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्यात कृतीची जलद सुरुवात होते."
No newspaper is completely unbiased in my expert opinion.,माझ्या तज्ज्ञांच्या मते कोणतेही वर्तमानपत्र पूर्णपणे निःपक्षपाती नाही.,"माझ्या तज्ज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नाही.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते.",तज्ज्ञांच्या मते कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नाही.
