src,prediction,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,गायन करणारा गायनसमूह जसजशा उत्सवाध्यक्षाने प्रार्थना म्हटली तसतसे आवाज वाढवत होता.,"धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","एका सहा-महिन्यांच्या वासरूची तपासणीसाठी सादर करण्यात आली, ज्याला जन्मानंतर लवकरच सुरू झालेल्या चारही पायांमध्ये लंगडेपणाची लक्षणे दिसून आली.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,"नियोजन प्राधिकरणांनी लघुव्यवसायांसाठी पर्यायी स्थाने उपलब्ध करून द्यावीत, जे राहाण्याच्या भागात आक्षेपार्ह आहेत किंवा असू शकतात.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
As the machine develops the forms we use to record data from past projects will be amended.,"जसजशी मशीन विकसित होते, तसतसे मागील प्रकल्पांमधून डेटा नोंदण्यासाठी आपण वापरत असलेली फॉर्मे सुधारली जातील.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील."
"As mentioned, first impressions can be misleading.","जसे उल्लेख केला आहे, पहिल्या छापी गैरसमज निर्माण करू शकतात.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,"स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालू होण्यापूर्वी असेंब्ल्ड इक्वल्स टेबल लोड करा.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,कार्यकारी लोक मान्यताप्राप्त तारखांमधून मोठ्या विचलनाबद्दल माहिती देण्यास विलंब करतात; यामुळे वेळेत कारवाई करता येत नाही.,अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"हे ग्लायकन्स प्रोटीन्सवर खूपच कमी प्रमाणात स्थानांतरित केले जातात, ज्यामुळे ग्लायकोसिलेशन सीक्वॉन रिकामे राहतात.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","X हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडद्वारे घेण्याचे उपचार आहे ज्याची क्रिया झपाट्याने सुरू होते.","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,"माझ्या तज्ञ मतानुसार, कोणताही वृत्तपत्र पूर्णपणे पक्षपातरहित नाही.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,"उदाहरणार्थ, स्टीम हा त्या सामग्रीसाठी अॅसिड इतकाच हानिकारक आहे.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हर्डी, पुचिनी, मोत्सार्ट आणि गिलबर्ट आणि सुलिव्हन आहेत.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,उच्च खर्चात वाळवंटात स्थापन केलेल्या नवीन प्रकल्पातील एकमेव समस्या म्हणजे चांगल्या प्रवेश रस्त्यांचा अभाव.,मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.
Having failed in all previous attempts he evolved a new plan which surprised everybody.,"सर्व मागील प्रयत्नांमध्ये अयशस्वी झाल्यानंतर, त्याने एक नवीन योजना तयार केली ज्याने सर्वांना आश्चर्यचकित केले.","मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली, ज्यामुळे सर्वांना आश्चर्य वाटले."
When the film was developed none of the pictures proved satisfactory.,"जेव्हा फिल्म विकसित केली गेली, तेव्हा कोणतीही चित्रे समाधानकारक ठरली नाहीत.",फिल्म डेव्हलप झाल्यावर एकही फोटो समाधानकारक निघाला नाही.
The school has adequate study facilities but hardly any sports facilities.,"शाळेकडे पुरेशा अभ्यास सुविधा आहेत, परंतु काहीच क्रीडा सुविधा नाहीत.","शाळेत अभ्यासासाठी पुरेशा सुविधा आहेत, पण क्रीडा सुविधा जवळजवळ नाहीतच."
In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,"दैनंदिन वाहतुकीदरम्यान, कैरोच्या रहिवाशाला अनेकदा गुदमरून टाकणारे प्रदूषण जाणवते.",त्याच्या दैनंदिन प्रवासात कैरोच्या रहिवाशाला गुदमरवून टाकणाऱ्या प्रदूषणाची वारंवार जाणीव होते.
If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,"जर नाटकात संघर्ष आणि कवितेत रूपक असेल, तर काव्यात्मक नाटकात रूपकांचे नाट्यरूपांतर असले पाहिजे!","जर नाटक संघर्ष सूचित करत असेल, आणि कविता रूपक सूचित करत असेल, तर काव्य नाटक निश्चितपणे रूपकाचे नाट्यीकरण सूचित करते!"
Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,आयटम ज्ञान नेटवर्कचे नोड्स म्हणून काम करतात आणि वापरकर्ता-परिभाषित संबंधक आयटम दरम्यानच्या दुवा म्हणून काम करतात.,"वस्तू ज्ञानाच्या नेटवर्कचे नोड्स म्हणून कार्य करतात, आणि वापरकर्त्याने परिभाषित केलेले रिलॅटर्स वस्तूंमधील दुवे म्हणून कार्य करतात."
A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,तांत्रिक मजकूरांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहजपणे पुनर्प्राप्त करता येईल अशा स्वरूपात साठवली गेली आहे याची खात्री करणे आवश्यक असते.,तांत्रिक ग्रंथांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहज उपलब्ध होईल अशा स्वरूपात साठवली जाईल याची खात्री करावी लागते.
The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,कॅल्क्युलेटरने निवडलेली कार्ये कार्यान्वित केली आणि परिणाम स्क्रीनच्या वरच्या अर्ध्या भागावर प्रदर्शित केले.,कॅल्क्युलेटरने निवडलेली कार्ये पार पाडली आणि परिणाम स्क्रीनच्या वरच्या अर्ध्या भागावर प्रदर्शित केले.
"There are many disturbing factors fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","अनेक त्रासदायक घटक आहेत: थकवा, दुर्बल दृष्टी, वाचन क्षमतेचा अभाव, चिंता किंवा अयोग्य सावधगिरी, लक्ष विचलित होणे आणि अपुरी प्रेरणा.","विचलित करणारे अनेक घटक आहेत: थकवा, खराब दृष्टी, खराब वाचन क्षमता, चिंता किंवा अवाजवी सावधगिरी, विचलितता आणि अपुरी प्रेरणा."
"These are the components required motor brushes, bearings, and wiring.","हे आवश्यक घटक आहेत: मोटर ब्रश, बेअरिंग्ज आणि वायरिंग.","आवश्यक असलेले घटक खालीलप्रमाणे आहेत: मोटार ब्रशेस, बेअरिंग्ज आणि वायरिंग."
"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components direct sound and reverberant sound.","जेव्हा आवाजाचा स्रोत खोलीत किंवा इतर आवरणात कार्यरत असतो, तेव्हा खोलीतील ध्वनी दाब दोन घटकांचा बनलेला असतो: थेट आवाज आणि प्रतिध्वनी आवाज.","जेव्हा ध्वनीचा स्रोत एखाद्या खोलीत किंवा इतर बंद जागेत कार्यरत असतो, तेव्हा खोलीतील ध्वनी दाबामध्ये दोन घटक असतात: थेट ध्वनी आणि निनादी ध्वनी."
The crucial words in the specification are the signals must be routed internally.,स्पेसिफिकेशनमधील निर्णायक शब्द आहेत: सिग्नल अंतर्गत मार्गनिर्देशित केले जाणे आवश्यक आहे.,तपशीलातील महत्त्वाचे शब्द आहेत: ‘सिग्नल अंतर्गत मार्गाने पाठवले जाणे आवश्यक आहे’.
Would you please supply a list of the correct settings for the ABC,कृपया ABC साठी योग्य सेटिंग्जची यादी पुरवाल?,कृपया 'एबीसी' साठी योग्य सेटिंग्जची एक यादी पुरवाल का?
Set BATTERY B switch to OFF set BATTERY C switch to ON.,"BATTERY B स्विच OFF वर सेट करा, BATTERY C स्विच ON वर सेट करा.",बॅटरी 'बी' चा स्विच 'ऑफ' करा; बॅटरी 'सी' चा स्विच 'ऑन' करा.
"What we see, we believe what we hear, we register","आपण जे पाहतो, ते आपण मानतो; आपण जे ऐकतो, ते आपण नोंदवतो.","जे पाहतो, त्यावर विश्वास ठेवतो; जे ऐकतो, त्याची नोंद घेतो."
"However oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species","तथापि, जेव्हा रिएक्टिव्ह ऑक्सिजन स्पिशीजमध्ये वाढ झाल्यामुळे संतुलन बिघडते, तेव्हा ऑक्सिडेटिव्ह ताण निर्माण होतो.","तथापि, जेव्हा समतोल बिघडतो, तेव्हा प्रतिक्रियाशील ऑक्सिजन प्रजातींमध्ये वाढ झाल्यामुळे ऑक्सिडेटिव्ह ताण होतो."
Should any burner fail to ignite its respective section will revert to 'purge' and in this way the system ensures safe removal of unburned fuel,"जर कोणताही बर्नर पेटला नाही, तर त्याचा संबंधित विभाग 'पर्ज' वर परत येईल आणि अशाप्रकारे सिस्टम जळलेल्या इंधनाची सुरक्षितपणे removal सुनिश्चित करते.","जर कोणताही बर्नर पेटला नाही, तर त्याचा संबंधित विभाग 'पर्ज' वर परत जाईल आणि अशा प्रकारे प्रणाली न जळलेल्या इंधनाची सुरक्षित विल्हेवाट सुनिश्चित करते."
"At present rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","सध्या, केवळ 7% निव्वळ नफा देणाऱ्या परताव्याच्या दरांमुळे उद्योगात स्पर्धा वाढली आहे आणि नफा मार्जिन कमी झाले आहेत.","सध्या उद्योगात केवळ ७% निव्वळ नफा देणारे परताव्याचे दर सर्वत्र पसरलेले आहेत, ज्यामुळे वाढलेली स्पर्धा आणि नफ्याचे घट्ट मार्जिन दिसून येते."
"He draws an analogy between this and the learning process of a new-born child as it develops into maturity and quotes Freud: ""Where id was, there ego shall be.""","तो याची तुलना नवजात मुलाच्या शिकण्याच्या प्रक्रियेशी करतो, जसजसे ते परिपक्वतेकडे वाढते आणि फ्रॉइडचे उद्धरण देतो: ""जिथे इड होती, तिथे अहं असेल.""","तो याची तुलना नवजात बालक प्रौढत्वाकडे विकसित होत असतानाच्या अध्ययन प्रक्रियेशी करतो आणि फ्रॉइडचे उद्धृत करतो: ""जिथे इड होते, तिथे इगो असेल."""
