Sentence,Response
"Chanting, the choir raised the volume as the celebrant intoned the prayer."," Marathi Translation (Devanagari Script): 

श्रद्धांजली घेतल्यानंतर, गायिका घोषवाण्याने प्रार्थना सांगत असताना गिर्या वर वाढवल्या."
"A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth."," Marathi Translation (Devanagari Script): 

एकूण सहा महिन्यांचा वाढतोळा ज्याला परीक्षेसाठी सादर केला गेला होता, त्याला सर्व चार पायांवर कमजोरी होती आणि जन्मानंतर खूप लवकरच ही कमजोरी होती."
"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area."," Marathi Translation (Devanagari Script): 

व्यवस्थापन अधिकारी लहान व्यवसायासाठी घरगुती क्षेत्रात किंवा तेथे भेदभावास्पद असलेल्या स्थानांची वैकल्पिक स्थाने पुरविणे आवश्यक आहे."
"As the machine develops, the forms we use to record data from past projects will be amended."," Marathi Translation (Devanagari Script): 

येत्या वेळी मशीन विकसित होत असताना, आम्ही पूर्वीच्या प्रकल्पांच्या डेटा नोंदविण्यासाठी वापरलेल्या फॉर्म्सचे बदल करणार."
"As mentioned first, impressions can be misleading."," Marathi Translation (Devanagari Script): 

पहिल्या वेळी सांगितल्याप्रमाणे भावना वाईट वाटू शकतात."
"To get a clean assembly, load the assembled equals table before the assembly is run."," Marathi Translation (Devanagari Script): 

स्वच्छ असेंबलिंग मिळवण्यासाठी असेंबल केलेल्या समान तालिकेला असेंबलिंग चालू होण्यापूर्वी लोड करा."
"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time."," Marathi Translation (Devanagari Script): 

अधिकाऱ्यांनी सहमत केलेल्या तारखांपासून मोठ्या विचलनांच्या बाबतीत माहिती देण्यास विलंब होतो. ह्यामुळे कारवाई वेळेत होऊ शकत नाही."
"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons."," Marathi Translation (Devanagari Script): या ग्लायकन्सचा प्रोटीनमध्ये वाईटपणे स्थानांतरित होत असतो, ज्यामुळे ग्लायकोसिलेशन सीक्वोन्स स्वस्तात असतात."
"X is an effective acute, oral treatment for migraine, with a rapid onset of action"," Marathi Translation (Devanagari Script): X हा एक कार्यक्षम, ओळखीचे मौखिक उपचार आहे ज्याचा त्वरित कार्याचा प्रारंभ होतो"
"No newspaper is completely unbiased, in my expert opinion."," Marathi Translation (Devanagari Script): कोणत्याही वृत्तपत्राचे पूर्णपणे निरपक्षपंतता नाही, माझ्या विशेषज्ञ मतानुसार."
