Sentence,Response,sent_meant,gt
"Chanting, the choir raised the volume as the celebrant intoned the prayer.","श्रद्धांजली घेतल्यानंतर, गायिका घोषवाण्याने प्रार्थना सांगत असताना गिर्या वर वाढवल्या.","Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","एकूण सहा महिन्यांचा वाढतोळा ज्याला परीक्षेसाठी सादर केला गेला होता, त्याला सर्व चार पायांवर कमजोरी होती आणि जन्मानंतर खूप लवकरच ही कमजोरी होती.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.",व्यवस्थापन अधिकारी लहान व्यवसायासाठी घरगुती क्षेत्रात किंवा तेथे भेदभावास्पद असलेल्या स्थानांची वैकल्पिक स्थाने पुरविणे आवश्यक आहे.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
"As the machine develops, the forms we use to record data from past projects will be amended.","येत्या वेळी मशीन विकसित होत असताना, आम्ही पूर्वीच्या प्रकल्पांच्या डेटा नोंदविण्यासाठी वापरलेल्या फॉर्म्सचे बदल करणार.","As the machine develops, the forms we use to record data from past projects will be amended.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील."
"As mentioned first, impressions can be misleading.",पहिल्या वेळी सांगितल्याप्रमाणे भावना वाईट वाटू शकतात.,"As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
"To get a clean assembly, load the assembled equals table before the assembly is run.",स्वच्छ असेंबलिंग मिळवण्यासाठी असेंबल केलेल्या समान तालिकेला असेंबलिंग चालू होण्यापूर्वी लोड करा.,"To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अधिकाऱ्यांनी सहमत केलेल्या तारखांपासून मोठ्या विचलनांच्या बाबतीत माहिती देण्यास विलंब होतो. ह्यामुळे कारवाई वेळेत होऊ शकत नाही.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","या ग्लायकन्सचा प्रोटीनमध्ये वाईटपणे स्थानांतरित होत असतो, ज्यामुळे ग्लायकोसिलेशन सीक्वोन्स स्वस्तात असतात.","These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine, with a rapid onset of action","X हा एक कार्यक्षम, ओळखीचे मौखिक उपचार आहे ज्याचा त्वरित कार्याचा प्रारंभ होतो","X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
"No newspaper is completely unbiased, in my expert opinion.","कोणत्याही वृत्तपत्राचे पूर्णपणे निरपक्षपंतता नाही, माझ्या विशेषज्ञ मतानुसार.","No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
