Sentence,Response,sent_meant,gt
"A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","एक सहा महिन्याचा बछडा दाखल करण्यात आला होता, जो सर्व चार पायांवर लंगडत असल्याचे दिसून आले होते आणि तो जन्मापासूनच असे करत आहे.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी ठिकाणे उपलब्ध करून द्यावीत, जी निवासी भागात अयोग्य असतील.","Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
"As the machine develops, the forms we use to record data from past projects will be amended.",यंत्रे विकसितम् होतें तसाच डेटा आपण भूत प्रकल्पांमधून नोंदवण्याचे प्रकारही बदलत जातील.,"As the machine develops, the forms we use to record data from past projects will be amended.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील."
"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",निष्कासनकर्ता विलंबतः करारित तारखांविषयी महत्त्वपूर्ण विसंगतींविषयी माहिती देत नाही. कारण यामुळे कृती वेळेत होऊ शकत नाही.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","ये ग्लायकोन्स खराब रूप से प्रोटीन में स्थानांतरित होते हैं, जिसके परिणामस्वरूप रिक्त ग्लाइकोसिलीकरण अनुक्रमों का निर्माण होता है।","These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine, with a rapid onset of action","X हा तीव्र डोकेदुखीसाठी प्रभावी आहे, जो जलद परिणामांसह होतो.","X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
"Steam, for example, is just as damaging as acid for that material.","स्टीम, उदाहरणार्थ, त्या सामग्रीसाठी जसे की एक ऍसिड आहे.","Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार आहेत -  - वर्दी, पुच्चीनी, मोजार्ट आणि गिल्बर्ट अँड सुलिव्हन.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
"The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",नवीन प्रकल्पातील एकमेव समस्या म्हणजे वाळवंटात स्थापन केलेली उच्च किंमत असलेली रस्ते नाहीत.,"The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.
"Having failed in all previous attempts, he evolved a new plan which surprised everybody.",सर्वप्रथम अपयश प्राप्त झाल्यानंतर त्याने एक नवीन योजना आखली जी सर्वांना आश्चर्यचकित करून गेली.,"Having failed in all previous attempts, he evolved a new plan which surprised everybody.","मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली, ज्यामुळे सर्वांना आश्चर्य वाटले."
