Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,"प्रार्थनेचा उच्चार करताना, गानागाराने आवाज वाढवला, जेव्हा अभिषेकाचा उच्चार केला.","Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","एका पाच महिन्यांच्या मुलाच्या भटक्याला तपासणीसाठी सादर केले गेले, ज्याला सर्व चार पायांमध्ये लंगडपणा होता, जो जन्म झाल्यापासूनच होता.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,"नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी ठिकाणे प्रदान कराव्यात, ज्यांना किंवा ज्यांना राहण्याच्या परिसरात आव्हान निर्माण होईल.","Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
"As mentioned, first impressions can be misleading.","म्हणूनच, पहिल्या छापे चुकीच्या असू शकतात.","As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,"स्वच्छ एकत्रीकरण मिळवण्यासाठी, एकत्रित केलेल्या समानता टेबलाची लोडिंग करा एकत्रीकरण सुरू होण्यापूर्वी.","To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,"कार्यकारी महत्वाच्या वेळेच्या अपेक्षेपासून मोठ्या विचलनांबद्दल माहिती देण्यास आढळतात; यामुळे, वेळेवर कारवाई केली जाऊ शकत नाही.","Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"हे ग्लायकन्स प्रथिनेला खूपच कमी प्रमाणात स्थानांतरित होतात, ज्यामुळे रिकाम्या ग्लायकोसिलीकरण सेक्वॉन येतात.","These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","एक्स माइग्रेनसाठी एक प्रभावी, तात्काळ, मौखिक उपचार आहे जो जलद परिणाम देतो.","X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,"मला माहितीच्या दृष्टिकोनातून, कोणत्याही वृत्तपत्र पूर्णपणे निष्पक्ष नाही.","No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,"वाष्प, उदाहरणार्थ, त्या पदार्थासाठी अम्ल जितकेच हानीकारक आहे.","Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","माझे आवडते ओपेरा संगीतकार आहेत वेरडी, पुकिनि, मोजार्ट आणि गिल्बर्ट आणि सल्लिव्हान.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,"नवीन प्रकल्पात, ज्याला उंच खर्चात उर्ध्वरेष्यात स्थापन केले आहे, यात एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांचा अभाव आहे.","The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.
Having failed in all previous attempts he evolved a new plan which surprised everybody.,"सर्व पूर्व प्रयत्नांमध्ये अपयश झाल्यावर, तो एक नवीन योजना आखला जी सर्वांनाच आश्चर्यचकित केली.","Having failed in all previous attempts, he evolved a new plan which surprised everybody.","मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली, ज्यामुळे सर्वांना आश्चर्य वाटले."
When the film was developed none of the pictures proved satisfactory.,"फिल्म विकसित झाली की, कोणत्याही फोटो समाधानकारक ठरला नाही.","When the film was developed, none of the pictures proved satisfactory.",फिल्म डेव्हलप झाल्यावर एकही फोटो समाधानकारक निघाला नाही.
The school has adequate study facilities but hardly any sports facilities.,"शाळेत अभ्यासासाठी पुरेशी सुविधा आहेत, पण खेळासाठी अगदी कमी सुविधा आहेत.","The school has adequate study facilities, but hardly any sports facilities.","शाळेत अभ्यासासाठी पुरेशा सुविधा आहेत, पण क्रीडा सुविधा जवळजवळ नाहीतच."
In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,"दिवसभरात त्याच्या व्यापाराच्या बाबींमध्ये, कायरोचे रहिवासी अनेकदा वेदनादायक प्रदूषणाची जाणीव पाहतो.","In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.",त्याच्या दैनंदिन प्रवासात कैरोच्या रहिवाशाला गुदमरवून टाकणाऱ्या प्रदूषणाची वारंवार जाणीव होते.
If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,"जर नाटक संघर्षाचा अर्थ असेल, तर कविता रूपकाचा अर्थ असेल, तर कवितात्मक नाटक रूपकाचा नाट्यकरण करण्याचा अर्थ असावा!","If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!","जर नाटक संघर्ष सूचित करत असेल, आणि कविता रूपक सूचित करत असेल, तर काव्य नाटक निश्चितपणे रूपकाचे नाट्यीकरण सूचित करते!"
Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,"वस्तू ज्ञान नेटवर्कच्या नोड्स म्हणून कार्य करतात, आणि वापरकर्त्याने परिभाषित संबंध वस्तूंमधील जोड्या म्हणून कार्य करतात.","Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.","वस्तू ज्ञानाच्या नेटवर्कचे नोड्स म्हणून कार्य करतात, आणि वापरकर्त्याने परिभाषित केलेले रिलॅटर्स वस्तूंमधील दुवे म्हणून कार्य करतात."
A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,एक तंत्रज्ञानात्मक ग्रंथांचे भाषांतरक अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि त्याची असे संग्रहित करावी लागते की ते सोप्यापणे शोधता येईल.,"A translator of technical texts often has to handle large amounts of information, and needs to ensure that it is stored in an easily retrievable form.",तांत्रिक ग्रंथांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहज उपलब्ध होईल अशा स्वरूपात साठवली जाईल याची खात्री करावी लागते.
The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,कॅल्क्युलेटरने निवडलेल्या कार्ये पूर्ण केली आणि परिणाम स्क्रीनच्या वरच्या अर्धा भागात प्रदर्शित केले.,"The calculator executed the functions that had been selected, and displayed the results on the top half of the screen.",कॅल्क्युलेटरने निवडलेली कार्ये पार पाडली आणि परिणाम स्क्रीनच्या वरच्या अर्ध्या भागावर प्रदर्शित केले.
"There are many disturbing factors fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","अनेक अडचणीचे घटक आहेत: थकवा, कमकुवत दृष्टी, कमी वाचन क्षमता, चिंता किंवा अनावश्यक सावधगिरी, लक्ष केंद्रित नसणे आणि अपुरा प्रेरणा.","There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","विचलित करणारे अनेक घटक आहेत: थकवा, खराब दृष्टी, खराब वाचन क्षमता, चिंता किंवा अवाजवी सावधगिरी, विचलितता आणि अपुरी प्रेरणा."
"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components direct sound and reverberant sound.","जेव्हा ध्वनी स्रोत एका खोली किंवा इतर बंदिस्त जागी कार्य करतो, तेव्हा खोलीतील ध्वनी दाब दोन घटकांपासून बनतो: प्रत्यक्ष ध्वनी आणि परावर्तित ध्वनी.","When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components: direct sound and reverberant sound.","जेव्हा ध्वनीचा स्रोत एखाद्या खोलीत किंवा इतर बंद जागेत कार्यरत असतो, तेव्हा खोलीतील ध्वनी दाबामध्ये दोन घटक असतात: थेट ध्वनी आणि निनादी ध्वनी."
The crucial words in the specification are the signals must be routed internally.,विशिष्टतेतील महत्त्वाचे शब्द हे आहेत: संकेत आतूनच वाहिले पाहिजेत.,The crucial words in the specification are ‘the signals must be routed internally’.,तपशीलातील महत्त्वाचे शब्द आहेत: ‘सिग्नल अंतर्गत मार्गाने पाठवले जाणे आवश्यक आहे’.
Would you please supply a list of the correct settings for the ABC,आपण असेल का ABCसाठी योग्य सेटिंग्सची यादी पुरवता येईल?,Would you please supply a list of the correct settings for the ABC?,कृपया 'एबीसी' साठी योग्य सेटिंग्जची एक यादी पुरवाल का?
Set BATTERY B switch to OFF set BATTERY C switch to ON.,बॅटरी बी स्विच ऑफ करा; बॅटरी सी स्विच ऑन करा.,Set BATTERY B switch to OFF; set BATTERY C switch to ON.,बॅटरी 'बी' चा स्विच 'ऑफ' करा; बॅटरी 'सी' चा स्विच 'ऑन' करा.
