Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,"गीत गायताना गाण्याचा स्वर वाढवला, जसे उत्सव म्हणजे प्रार्थनाचा उच्चार करत होता.","Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","एक आठ महिन्याचा भाकंडा शिफारसीसाठी सादर करण्यात आला, ज्याला सर्व चार पायांमध्ये लंगडता दिसत होती जी जन्म झाल्यापासून लवकरच होती.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,निवास क्षेत्रात हानिकारक असलेल्या किंवा होण्याची शक्यता असलेल्या लहान व्यवसायांसाठी नियोजन प्राधिकरणांनी पर्यायी ठिकाणे उपलब्ध कराव्या लागतील.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
"As mentioned, first impressions can be misleading.","जसे म्हटले आहे, पहिल्या छापे चुकीच्या असू शकतात.","As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,"साफ असलेल्या संचयनासाठी, संचयनाचे कार्य सुरू होण्यापूर्वी, एकत्रित केलेल्या सारख्या टेबलाचा लोड करा.","To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,कार्यकारींनी करारित तारखांपासून मोठ्या प्रमाणात भिन्नतांबद्दल माहिती देण्यास विलंब करत आहेत. यामुळे वेळेवर कारवाई केली जाऊ शकत नाही.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"हे ग्लायकन्स प्रोटीनमध्ये खराब प्रकारे स्थानांतरित होतात, ज्यामुळे रिकाम्या ग्लाइकोसिलीकरण सेक्वन्स निर्माण होतात.","These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","X म्हणजे मायग्रेनसाठी एक प्रभावी, तात्काळ, मौखिक उपचार आहे ज्याचा कार्य आरंभ लवकरच होते.","X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,"माझ्या अभिप्रायानुसार, कोणत्याही वृत्तपत्र पूर्णपणे निष्पक्ष नाही.","No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,"स्टीम, उदाहरणार्थ, तो पदार्थासाठी अम्ल जितकेच नुकसानदायक आहे.","Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
