Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,"गायनात, गाणे गटाने स्वर वाढवला जेव्हा साजरा करणारा प्रार्थना म्हणत होता.","Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","एक छः महिन्यांचा बकरी नवजात शरीराची तपासणीसाठी सादर केला गेला, सर्व चार पायांमध्ये लंगडणे दाखवत जो जन्म झाल्यापासून लवकरच होता.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,"नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी ठिकाणे प्रदान कराव्यात, ज्यांना किंवा ज्या भविष्यात राहण्याच्या परिसरात असेल असे अपमानजनक ठरू शकते.","Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
As the machine develops the forms we use to record data from past projects will be amended.,"मशीन विकसित होत असताना, आम्ही वापरतो आकडेवारी नोंदवण्यासाठीच्या फॉर्ममध्ये बदल केले जाईल.","As the machine develops, the forms we use to record data from past projects will be amended.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील."
"As mentioned, first impressions can be misleading.","असे म्हटले आहे, पहिल्या छापे चुकीची असू शकतात.","As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,"सफाईसाठी असेंब्लीसाठी, एकत्रित केलेल्या समान टेबलला असेंब्ली चालू होण्यापूर्वी लोड करा.","To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,"कार्यकारी करारित तारखांपासून मोठ्या फरकांबद्दल माहिती देण्यास अडथळा आणत आहेत, यामुळे ही कारवाई वेळेवर केली जाऊ शकत नाही.","Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"या ग्लाइकन्स प्रोटीनमध्ये कमी प्रमाणात स्थानांतरित होतात, ज्यामुळे ग्लाइकोसिलीकरण सेक्वॉन रिकामध्ये राहतात.","These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","X म्हणजे मायग्रेनसाठी एक प्रभावी, तात्काळ, मौखिक उपचार आहे, ज्याचा लवकरच परिणाम होतो.","X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,"कोणत्याही वृत्तपत्र, माझ्या विशेषज्ञ मतानुसार, पूर्णपणे निष्पक्ष नाही.","No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,"स्टीम, उदाहरणार्थ, तो पदार्थासाठी जितकेच हानीकारक आहे तितकेच अम्ल देखील आहे.","Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","माझे आवडते ओपेरा संगीतकार आहेत वेर्डी, पुचिनी, मोजार्ट आणि गिल्बर्ट आणि सल्लीवन.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,"नवीन प्रकल्पात, ज्याला उंच खर्चाने प्रकल्पस्थळावर स्थापन केले आहे, यात एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांचा अभाव आहे.","The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.
Having failed in all previous attempts he evolved a new plan which surprised everybody.,"सर्वोत्तम प्रयत्नांमध्ये अपयश पावल्यानंतर, तो एक नवीन योजना आखला ज्याने सर्वजण आश्चर्यचकित केले.","Having failed in all previous attempts, he evolved a new plan which surprised everybody.","मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली, ज्यामुळे सर्वांना आश्चर्य वाटले."
When the film was developed none of the pictures proved satisfactory.,"चित्रपट विकसित झाल्यावर, कोणत्याही फोटो समाधानकारक ठरले नाहीत.","When the film was developed, none of the pictures proved satisfactory.",फिल्म डेव्हलप झाल्यावर एकही फोटो समाधानकारक निघाला नाही.
The school has adequate study facilities but hardly any sports facilities.,"शाळेत पुरेशी अभ्यास सुविधा आहेत, पण कमीत कमी खेळ सुविधा आहेत.","The school has adequate study facilities, but hardly any sports facilities.","शाळेत अभ्यासासाठी पुरेशा सुविधा आहेत, पण क्रीडा सुविधा जवळजवळ नाहीतच."
In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,"हिच्या दैनंदिन व्यवसायात, कायरोचा राहिवासी अनेकदा वेदनादायक प्रदूषणाची जाणीव करून घेते.","In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.",त्याच्या दैनंदिन प्रवासात कैरोच्या रहिवाशाला गुदमरवून टाकणाऱ्या प्रदूषणाची वारंवार जाणीव होते.
If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,"जर नाट्य संघर्षाचा आणि कविता रूपकाचा अर्थ असेल, तर कवितात्मक नाट्य रूपकाचा अभिनय करतो असेच असेल!","If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!","जर नाटक संघर्ष सूचित करत असेल, आणि कविता रूपक सूचित करत असेल, तर काव्य नाटक निश्चितपणे रूपकाचे नाट्यीकरण सूचित करते!"
Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,"पद्धती ज्ञानाच्या जालात नोड्स म्हणून काम करतात, आणि वापरकर्त्याने परिभाषित संबंध म्हणून नोड्समधील जोड्या म्हणून कार्य करतात.","Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.","वस्तू ज्ञानाच्या नेटवर्कचे नोड्स म्हणून कार्य करतात, आणि वापरकर्त्याने परिभाषित केलेले रिलॅटर्स वस्तूंमधील दुवे म्हणून कार्य करतात."
A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,तंत्रज्ञानाच्या ग्रंथांचे भाषांतरक अनेकदा मोठ्या प्रमाणात माहिती व्यवस्थापित करावी लागते आणि त्याची सोपीपणे शोधण्यायोग्य रूपात संग्रहित करावी लागते.,"A translator of technical texts often has to handle large amounts of information, and needs to ensure that it is stored in an easily retrievable form.",तांत्रिक ग्रंथांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहज उपलब्ध होईल अशा स्वरूपात साठवली जाईल याची खात्री करावी लागते.
