Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,"मंडळाच्या गायनाने, साजरा करणाऱ्याने प्रार्थना गायली असताना, आवाज वाढवला.","Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","एक छः महिन्यांचा भाकंडा शिफारस करण्यात आला होता तपासणीसाठी, ज्याच्या सर्व चार पायांमध्ये लॅमनेस होती जी जन्म झाल्यापासूनच होती.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,महत्त्वाच्या योजना आयोगांनी लहान व्यवसायांसाठी राहण्याच्या परिसरात आव्हानात्मक असलेल्या किंवा होऊ शकतील अशा स्थानिकांसाठी पर्यायी ठिकाणे उपलब्ध कराव्यात.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
As the machine develops the forms we use to record data from past projects will be amended.,"मशीन विकसित होत असताना, आम्ही मागील प्रकल्पांपासून डेटा रेकॉर्ड करण्यासाठी वापरल्या जाणाऱ्या फॉर्ममध्ये बदल करू.","As the machine develops, the forms we use to record data from past projects will be amended.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील."
"As mentioned, first impressions can be misleading.","जसे म्हटले आहे, पहिल्या छापे चुकीच्या असू शकतात.","As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,"साफ स्वरूपाची एकत्रीकरणासाठी, एकत्रित केलेल्या समान ताबल्याला एकत्रीकरण सुरू होण्यापूर्वी लोड करा.","To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,कार्यकारींनी करारित तारखांपासून मोठ्या फरकांबद्दल माहिती देण्यास विलंब केला आहे. यामुळे वेळेवर कारवाई करणे शक्य नाही.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"हे ग्लायकन्स प्रोटीनमध्ये खूपच कमी प्रमाणात स्थानांतरित होतात, ज्यामुळे ग्लाइकोसिलीकरण सेक्वॉन रिकामध्ये राहतात.","These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","एक्स म्हणजे माइग्रेनसाठी एक प्रभावी तीव्र, मौखिक उपचार आहे ज्याचा कार्य सुरुवातीलाच होतो.","X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,"माझ्या माहितीच्या आधारावर, कोणत्याही वृत्तपत्र पूर्णपणे निष्पक्ष नाही.","No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,"स्टीम उदाहरणार्थ, असेच हानिकारक आहे जसे की अम्ल त्या पदार्थासाठी.","Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","माझे आवडते ओपेरा संगीतकार आहेत वर्डी, पुचिनी, मोजार्ट आणि गिल्बर्ट आणि सल्लिव्हान.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
