Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,गायन करत असताना कोरसने स्वराची वाढ केली की समारंभक ने प्रार्थना सांगत असताना.,"Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","सहा महिन्यांचे बछडे ज्यांना परीक्षणासाठी सादर केले गेले होते, ते सर्व चार पायांमध्ये कमजोरी दाखवून होते, ज्याने जन्मानंतर काही वेळाने असलेल्या असलेल्या.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,यांत्रिक व्यवस्था अधिकाऱ्यांनी निवासी विभागात भेदभावाचे ठरेलेल्या छोट्या व्यवसायांसाठी वैकल्पिक स्थाने प्रदान करावीत.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
"As mentioned, first impressions can be misleading.","ज्याप्रमाणे सांगितले आहे, पहिल्या प्रेरणेला भ्रम करू शकतात.","As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,स्वच्छ असेंबलीचे मिळण्यासाठी असेंबल केलेले समान तालिका असेंबलीच्या सुरू होण्यापूर्वी लोड करा.,"To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,अधिकाऱ्यांनी सहमत केलेल्या तारखांपासून केलेल्या महत्त्वाच्या विचलनांची माहिती देण्यात विलंब होतो; यामुळे योग्य वेळी कारवाई करणे शक्य नाही.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"या ग्लाइकन्सचा प्रोटीनवर अवघडपणे स्थानांतरित होतो, ज्यामुळे ग्लायकोसिलेशन सीक्वोन्समध्ये खाली स्थान नसते.","These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","X हे मिर्ग्रेनसाठी त्वरित कार्याचा प्रारंभ करणारी एक प्रभावी तीव्र, मौखिक उपचार आहे.","X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,कोणताही वृत्तपत्र माझ्या विशेषज्ञ मते नुसार पूर्णपणे निष्पक्ष नाही.,"No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,वीजेचा वाहणे उदाहरणार्थ त्या मटेरियलसाठी त्या सारखे नुकसान करणारे आहे किंवा त्यापेक्षा जास्त नुकसान करणारे आहे.,"Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","माझे प्रिय ऑपेरा संगीतकार व्हर्डी, पुचिनी, मोझार्ट आणि गिल्बर्ट आणि सुल्लिव्हन आहेत.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,नवीन प्रकल्पाचा एकमेव अडथळा दुर्मिळ रस्त्यांची कमी आहे.,"The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.
