Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,गिरी गाताना कोरसचा स्तर वाढवला जेव्हा सणावंत मंत्र म्हणाला.,"Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","सहा महिन्यांचा मुलगा प्रगट झाला होता, ज्याच्या सर्व चार पायांमध्ये लहानपणापासूनचे कमजोरपणाचे लक्षण दिसले होते.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,व्यवस्थापन प्राधिकरणांनी व्यवसायांसाठी वास्तव्यासाठी अनुकूल ठिकाणे उपलब्ध करून देणे आवश्यक आहे जे कोणत्याही रिझेंटियल एरियात किंवा असू शकतात.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
"As mentioned, first impressions can be misleading.","जसे सांगितले आहे, पहिल्या भावना भ्रमासारख्या असू शकतात.","As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,स्वच्छ असेंबली मिळवण्यासाठी असेंबल केलेल्या टेबलची लोडिंग करा आणि असेंबली चालू होण्यापूर्वी,"To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,"कार्याधिकारी सहमत केलेल्या तारखांपासून सामान्य विचलनांबद्दल माहिती देण्यात विलंब करतात. ह्या कारणास्तव, कारवाईचे वेळेत करणे शक्य नसते.","Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,Marathi Translation (Devनागरी लिपी): या ग्लायकन्सचा प्रोटीन्समध्ये श्रेष्ठपणे स्थानांतरित झाल्याने ग्लायकोसिलेशन सीक्यूएंसमध्ये विरहित ठरतात.,"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","X हे एक कार्यक्षम, मौखिक उपचार आहे ज्याचा वेगवान क्रियाशीलता असताना माइग्रेनासाठी","X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,कोणत्याही वर्तमानपत्रातील लेख माझ्या विशेषज्ञ मतानुसार पूर्णपणे निष्पक्ष नसतो.,"No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,"वीजचा वापर करून उदाहरणार्थ, त्या मटेरियलसाठी त्याचे नुकसान होते किती आहे तितके सारखे सारखे.","Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
