Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,गायन करण्यातल्या स्तोत्राचे स्वरूप वाढविण्यासाठी स्तोत्राचे गायन करणारा स्त्रोता ग्रंथाची प्रार्थना सांगत होता.,"Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.",एका सहा महिन्यांचा मुलगा वैद्यकीय जांचीसाठी पाठवण्यात आला होता. त्याने सर्व चार पायांवर लक्षणे होती ज्यांचे उपस्थिती जन्मानंतर काही वेळातच होते.,"A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,यांना व्यवसायांच्या विशिष्ट स्थाने प्रदान करण्याची जबाबदारी नागरी क्षेत्रात वाईट वाटणार्‍या व्यवसायांच्या किंवा असणार्‍या व्यवसायांच्या विशिष्ट स्थानांची आहे.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
As the machine develops the forms we use to record data from past projects will be amended.,"मशीन विकसित होत असतानाच, पूर्व प्रकल्पांच्या डेटा रेकॉर्ड करण्यासाठी वापरल्या जाणार्‍या फॉर्म्सची बदल केले जातील.","As the machine develops, the forms we use to record data from past projects will be amended.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील."
"As mentioned, first impressions can be misleading.",कितीही विचारांचा प्रथम भासा वाईट असू शकतो.,"As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,स्वच्छता मिळवण्यासाठी असेंबल असलेले समतोल तालिका असेंबलच्या चालू होण्यापूर्वी लोड करा.,"To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,व्यावस्थापकांनी सहमत केलेल्या तारखांपासून वेगळ्या असलेल्या मोठ्या वेळेवर किंवा वेळेवर योग्य नसलेल्या वेळापत्रकांबद्दल माहिती देण्यात विलंब होतो. यामुळे या कारवाईत वेळेत हाती घेता येत नाही.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"ये ग्लायकन्स प्रोटीनमध्ये श्रेष्ठपणे प्रवेश करत नाहीत, ज्यामुळे ग्लायकोसिलेशन सीक्वोन्समध्ये अनुपस्थितता होते.","These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action",X हे एक कार्यक्षम शीघ्र कार्याचा प्रारंभ असलेला मौखिक उपचार आहे.,"X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,कोणत्याही वृत्तपत्राची माझ्या विशेषज्ञ मतानुसार पूर्णपणे निष्पक्षता नाही.,"No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,"वायू, उदाहरणार्थ, त्या पदार्थासाठी त्या अम्लाप्रमाणे त्याचे नुकसान करू शकतो.","Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","माझे प्रिय ऑपेरा संगीतकार व्हेर्डी, पुच्चिनी, मोझार्ट, आणि गिल्बर्ट आणि सुल्लिव्हन.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,नवीन प्रकल्पाची एकमेव अडचण ही श्रीमंत प्रकल्पाच्या स्थापना करण्यासाठी मैदानी केली जाणारी आहे त्यामुळे चांगल्या प्रकारे प्रवेश मार्गांचा अभाव आहे.,"The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.
Having failed in all previous attempts he evolved a new plan which surprised everybody.,त्याच्या सर्व पूर्वीच्या प्रयत्नांमध्ये विफल होताना त्याने नवीन योजना विकसित केली ज्याने सर्वांना आश्चर्यचित होते.,"Having failed in all previous attempts, he evolved a new plan which surprised everybody.","मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली, ज्यामुळे सर्वांना आश्चर्य वाटले."
When the film was developed none of the pictures proved satisfactory.,फिल्म विकसित झाल्यावरही कोणत्याही चित्रे संतोषजनक ठरली नाहीत.,"When the film was developed, none of the pictures proved satisfactory.",फिल्म डेव्हलप झाल्यावर एकही फोटो समाधानकारक निघाला नाही.
The school has adequate study facilities but hardly any sports facilities.,"विद्यालयात योग्य शिक्षण सुविधा आहेत, पण खूप कमी खेळांच्या सुविधा आहेत.","The school has adequate study facilities, but hardly any sports facilities.","शाळेत अभ्यासासाठी पुरेशा सुविधा आहेत, पण क्रीडा सुविधा जवळजवळ नाहीतच."
In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,दैनंदिन व्यापारात एक कैरोणी नागरिकाने अक्सर वायुप्रदूषणाच्या वेधाने जाणीव होते.,"In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.",त्याच्या दैनंदिन प्रवासात कैरोच्या रहिवाशाला गुदमरवून टाकणाऱ्या प्रदूषणाची वारंवार जाणीव होते.
If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,"काही द्रामा संघर्षाचा सूचक आहे आणि कविता सांख्यिकेचा सूचक आहे, तर कवितादरम्याने द्रामा सांख्यिकेचे द्रामीकरण म्हणजे सांख्यिकेचे द्रामीकरण असणार.","If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!","जर नाटक संघर्ष सूचित करत असेल, आणि कविता रूपक सूचित करत असेल, तर काव्य नाटक निश्चितपणे रूपकाचे नाट्यीकरण सूचित करते!"
Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,विषयांचा (वस्तू) ज्ञान नेटवर्काचे नोड्स आहेत आणि वापरकर्त्यांनी परिभाषित संबंधकार्ये (relators) ज्ञान नेटवर्काच्या विषयांमधील लिंक्स म्हणून कार्य करतात.,"Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.","वस्तू ज्ञानाच्या नेटवर्कचे नोड्स म्हणून कार्य करतात, आणि वापरकर्त्याने परिभाषित केलेले रिलॅटर्स वस्तूंमधील दुवे म्हणून कार्य करतात."
A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,शास्त्रीय साहित्याचे अनुवादकांना विशाल प्रमाणात माहिती संभाळण्याची गरज असते आणि ती सरळपणे शोधण्यासाठी संग्रहित करावी लागते.,"A translator of technical texts often has to handle large amounts of information, and needs to ensure that it is stored in an easily retrievable form.",तांत्रिक ग्रंथांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहज उपलब्ध होईल अशा स्वरूपात साठवली जाईल याची खात्री करावी लागते.
The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,गणनाकृत्या केलेल्या कार्यांना पूर्ण केले आणि परिणाम प्रगत स्क्रीनच्या वरच्या भागावर प्रदर्शित केले.,"The calculator executed the functions that had been selected, and displayed the results on the top half of the screen.",कॅल्क्युलेटरने निवडलेली कार्ये पार पाडली आणि परिणाम स्क्रीनच्या वरच्या अर्ध्या भागावर प्रदर्शित केले.
"There are many disturbing factors fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","मोठ्या प्रमाणातील भयानक कारकांमध्ये थकवा, दृष्टी कमी असणे, वाचनाची क्षमता कमी असणे, भीती किंवा अतिरिक्त सावधगिरी, विचारांची विचलन, आणि अपुरा प्रेरणा यांचा समावेश आहे.","There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","विचलित करणारे अनेक घटक आहेत: थकवा, खराब दृष्टी, खराब वाचन क्षमता, चिंता किंवा अवाजवी सावधगिरी, विचलितता आणि अपुरी प्रेरणा."
"These are the components required motor brushes, bearings, and wiring.","या घटकांचा आवश्यक: मोटर ब्रश, बियरिंग्स, आणि वायरिंग.","These are the components required: motor brushes, bearings, and wiring.","आवश्यक असलेले घटक खालीलप्रमाणे आहेत: मोटार ब्रशेस, बेअरिंग्ज आणि वायरिंग."
"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components direct sound and reverberant sound.","जेव्हा श्रवणाचा स्रोत एका खोलीत किंवा इतर बंदिस्त स्थळावर कार्य करतो, त्या खोलीतील ध्वनीची दाब एकूण दोन घटकांमध्ये विभागला जातो: सीधा ध्वनी आणि पुनरावृत्त ध्वनी.","When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components: direct sound and reverberant sound.","जेव्हा ध्वनीचा स्रोत एखाद्या खोलीत किंवा इतर बंद जागेत कार्यरत असतो, तेव्हा खोलीतील ध्वनी दाबामध्ये दोन घटक असतात: थेट ध्वनी आणि निनादी ध्वनी."
The crucial words in the specification are the signals must be routed internally.,विविध शब्दांची विशिष्टता या सिग्नल्स को अंतर्गत आंतरिकरित्या पथवंत करणे आवश्यक आहे.,The crucial words in the specification are ‘the signals must be routed internally’.,तपशीलातील महत्त्वाचे शब्द आहेत: ‘सिग्नल अंतर्गत मार्गाने पाठवले जाणे आवश्यक आहे’.
Would you please supply a list of the correct settings for the ABC,कृपया ABC च्या योग्य नियंत्रणांची यादी प्रदान करा,Would you please supply a list of the correct settings for the ABC?,कृपया 'एबीसी' साठी योग्य सेटिंग्जची एक यादी पुरवाल का?
Set BATTERY B switch to OFF set BATTERY C switch to ON.,बॅटरी बी स्विच ऑफ करा आणि बॅटरी सी स्विच ऑन करा.,Set BATTERY B switch to OFF; set BATTERY C switch to ON.,बॅटरी 'बी' चा स्विच 'ऑफ' करा; बॅटरी 'सी' चा स्विच 'ऑन' करा.
"What we see, we believe what we hear, we register","जे आपल्या डोळ्यांना दिसते, ते आपण विश्वास करतो; जे आपण ऐकतो, ते आपण नोंदवतो.","What we see, we believe; what we hear, we register","जे पाहतो, त्यावर विश्वास ठेवतो; जे ऐकतो, त्याची नोंद घेतो."
"However oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species","परंतु ऑक्सीडेटिव स्ट्रेस होतो केवळ तेव्हा घडतो जेव्हा संतुलन बिघडते, प्रतिक्रियात्मक ऑक्सिजन स्पेसेसच्या वाढीमुळे.","However, oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species.","तथापि, जेव्हा समतोल बिघडतो, तेव्हा प्रतिक्रियाशील ऑक्सिजन प्रजातींमध्ये वाढ झाल्यामुळे ऑक्सिडेटिव्ह ताण होतो."
Should any burner fail to ignite its respective section will revert to 'purge' and in this way the system ensures safe removal of unburned fuel,जर कोणत्याही ब्रनरने ज्वलन न केले तर त्या प्रत्येक भागाला 'प्युर्ज'मध्ये परतले जाईल आणि त्या पद्धतीने सिस्टीम सुरक्षितपणे अनजलित ईंधनाची काळजी घेते.,"Should any burner fail to ignite, its respective section will revert to 'purge', and in this way the system ensures safe removal of unburned fuel","जर कोणताही बर्नर पेटला नाही, तर त्याचा संबंधित विभाग 'पर्ज' वर परत जाईल आणि अशा प्रकारे प्रणाली न जळलेल्या इंधनाची सुरक्षित विल्हेवाट सुनिश्चित करते."
"At present rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.",वर्तमान दरम्यानच्या दरांना ७% या नेट प्रॉफिटचा मिळवून घेण्यासाठी व्यावसायिकांमध्ये व्यापकपणे वाढीव प्रतिस्पर्धा आणि संकुचित लाभ मार्जिन्सचे सूचक आहेत.,"At present, rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","सध्या उद्योगात केवळ ७% निव्वळ नफा देणारे परताव्याचे दर सर्वत्र पसरलेले आहेत, ज्यामुळे वाढलेली स्पर्धा आणि नफ्याचे घट्ट मार्जिन दिसून येते."
"He draws an analogy between this and the learning process of a new-born child as it develops into maturity and quotes Freud: ""Where id was, there ego shall be.""","तो हे विचार करतो की हे आणि नवजात शिशूच्या शिक्षण प्रक्रियेचा सारांश आहे ज्याच्या विकासाने मaturity झाली आणि फ्रायडचा उद्धरण करतो: Where id was, there ego shall be.","He draws an analogy between this and the learning process of a new-born child as it develops into maturity, and quotes Freud: ""Where id was, there ego shall be.""","तो याची तुलना नवजात बालक प्रौढत्वाकडे विकसित होत असतानाच्या अध्ययन प्रक्रियेशी करतो आणि फ्रॉइडचे उद्धृत करतो: ""जिथे इड होते, तिथे इगो असेल."""
