Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,स्तुती करण्यासाठी गिरी मोठ्या आवाजात वाढवला जातो आणि स्तुती करणाऱ्याने प्रार्थना सांगत असतांना.,"Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","छह महिन्यांच्या वयाचा गायीचा मुलगा पाहण्यासाठी दिला गेला होता, ज्याने सर्व चार पायांमध्ये कमकुवती दाखवली होती, जी सगळ्यांना जन्मानंतर काही वेळातच उपस्थित होती.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,व्यावसायिक प्राधिकरणांना वास्तव्यासाठी अनुकूल नसलेल्या छोट्या व्यवसायांसाठी वास्तव्यासाठी अनुकूल ठिकाणे प्रदान करावीत.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
As the machine develops the forms we use to record data from past projects will be amended.,प्रक्रिया पूर्ण होत असतांना आपल्या डेटा नोंदविण्यासाठी वापरलेल्या फॉर्म्सचा आकार बदलला जाईल.,"As the machine develops, the forms we use to record data from past projects will be amended.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील."
"As mentioned, first impressions can be misleading.",पहिल्या भासांना वाईट वाटू शकते.,"As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,"असेंबल करण्यापूर्वी असेंबल केलेल्या समान तालिका लोड करा, आणि असेंबली चालू करण्यापूर्वी","To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,.Executor्स ने सांख्यिकीय विचलनांबद्दल माहिती देण्यासाठी विलंब केला. यामुळे हा कारवाई टप्प्यावर घेता येत नाही.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,या ग्लायकन्सचा प्रोटीनमध्ये वाईटपणे स्थानांतरित होताना अन्न्याय्य ग्लायकोसिलेशन सीक्वोन्स राहतात.,"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","एक्स हे एक कार्यक्षम, मौखिक उपचार आहे ज्याचा मिर्ग्रीनवर त्वरित कार्याचा प्रारंभ होतो.","X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,कोणत्याही वृत्तपत्राचे माझ्या विशेषज्ञ मतानुसार पूर्णपणे निष्पक्ष नसते.,"No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
