Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,गायकवृंदाने प्रार्थना गायल्यावर आवाजाची पातळी वाढली.,"Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","सहा महिन्यांच्या एका बछड्याला तपासणीसाठी सादर करण्यात आले होते, ज्यात सर्व चार पायांवर लंगडेपणा दिसून आला होता जो जन्मापासूनच अस्तित्वात असल्याचे दिसते.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,नियोजन प्राधिकरणांनी निवासी भागात अयोग्य ठरू शकणारे लहान व्यवसाय किंवा ठिकाणे हलविण्यासाठी पर्यायी ठिकाणांची योजना आखली पाहिजे.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
"As mentioned, first impressions can be misleading.",लक्षात ठेवा की पहिल्या छापांवर विश्वास ठेवू नये.),"As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,स्वच्छ विधानसभा लोड करण्यासाठी विधान टेबल आधी असेंब्ली रन करा.,"To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,निष्पादक सहमत तारखांपासून लक्षणीय विचलन झाल्याची माहिती देण्यात विलंब करत आहे. या कृतीमुळे वेळेत कारवाई करता येत नाही.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,हे ग्लायकन्स खराबपणे प्रथिनांमध्ये हस्तांतरित केले जातात ज्यामुळे रिक्त ग्लायकोसिलेशन अनुक्रम तयार होतात.,"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action",प्रभावी तीव्रता असलेल्या डोकेदुखीसाठी एक जलद उपचार आहे.,"X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,वृत्तपत्र पूर्णपणे निष्पक्ष नाही; माझ्या मते.,"No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,"उदाहरणार्थ, वाफ ही त्या सामग्रीसाठी जशी आम्लासारखी हानीकारक आहे तशीच असते.","Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार म्हणजे व्हर्दी, पुच्चीनी, मोजार्ट आणि गिल्बर्ट अँड सुलिव्हन.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,नवीन प्रकल्प स्थापन केलेल्या वाळवंटात रस्त्यांची गुणवत्ता चांगली नाही ही समस्या आहे.,"The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.
Having failed in all previous attempts he evolved a new plan which surprised everybody.,पूर्वीच्या सर्व प्रयत्नांत अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली जी सर्वांना आश्चर्यचकित करून गेली.,"Having failed in all previous attempts, he evolved a new plan which surprised everybody.","मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली, ज्यामुळे सर्वांना आश्चर्य वाटले."
When the film was developed none of the pictures proved satisfactory.,जेव्हा चित्रपट विकसित केला गेला तेव्हा कोणतीही छायाचित्रे समाधानकारक नव्हती.,"When the film was developed, none of the pictures proved satisfactory.",फिल्म डेव्हलप झाल्यावर एकही फोटो समाधानकारक निघाला नाही.
The school has adequate study facilities but hardly any sports facilities.,शाळेत पुरेशा अभ्यास सुविधा असल्या तरी खेळ सुविधांचा अभाव आहे.,"The school has adequate study facilities, but hardly any sports facilities.","शाळेत अभ्यासासाठी पुरेशा सुविधा आहेत, पण क्रीडा सुविधा जवळजवळ नाहीतच."
In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,रोजच्या वाहतुकीत काहिरीतील रहिवासी अनेकदा प्रदूषणाने ग्रासले जातात हे त्याला जाणवते.,"In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.",त्याच्या दैनंदिन प्रवासात कैरोच्या रहिवाशाला गुदमरवून टाकणाऱ्या प्रदूषणाची वारंवार जाणीव होते.
If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,जर नाटकात संघर्ष असेल तर त्यात रूपक वापरले पाहिजे.,"If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!","जर नाटक संघर्ष सूचित करत असेल, आणि कविता रूपक सूचित करत असेल, तर काव्य नाटक निश्चितपणे रूपकाचे नाट्यीकरण सूचित करते!"
Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,वस्तू ज्ञान नेटवर्कच्या नोड्स म्हणून काम करतात आणि वापरकर्त्याने परिभाषित केलेले संबंध दुवे याद्वारे एकमेकांशी जोडलेले असतात.,"Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.","वस्तू ज्ञानाच्या नेटवर्कचे नोड्स म्हणून कार्य करतात, आणि वापरकर्त्याने परिभाषित केलेले रिलॅटर्स वस्तूंमधील दुवे म्हणून कार्य करतात."
