Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,गायकवृंदाने गायलेल्या स्तोत्रामुळे प्रार्थनेचा आवाज वाढला.,"Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.",एक सहा महिन्यांचा बछडा तपासणीसाठी सादर करण्यात आला होता ज्यामध्ये जन्मापासूनच सर्व चार पाय दुखावलेले होते हे दिसून आले.,"A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,नियोजन प्राधिकरणांनी निवासी भागात किंवा त्यासारख्या ठिकाणी आक्रमक असलेल्या लहान व्यवसायांसाठी पर्यायी ठिकाणे प्रदान करावीत.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
"As mentioned, first impressions can be misleading.","नमूद केल्यानुसार, पहिल्या छाप चुकीच्या असू शकतात.","As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,स्वच्छ विधानसभा भार मिळवण्यासाठी असेंब्लीपूर्वी विधान लोड टेबलवर ठेवले जाते.,"To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,करार केलेल्या तारखांपासून लक्षणीय विचलन झाल्याची माहिती देण्याचे कार्य विलंब होत आहे कारण या कारवाईला वेळेत घेता येत नाही.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,या ग्लायकोन्सची प्रथिनांमध्ये खराब हस्तांतरण होते परिणामी रिक्त ग्लायकन अनुक्रमाचे अवशेष तयार होतात.,"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action",एक्स हे तीव्र मायग्रेनसाठी एक प्रभावी अल्पकालीन उपचार आहे ज्याची त्वरित सुरुवात होते,"X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,वृत्तपत्रात माझ्या मते पूर्णपणे निष्पक्षता नाही.,"No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,उदाहरणार्थ वाफ ही त्या सामग्रीसाठी जसा आम्लासारखाच हानिकारक आहे.,"Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
