Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,"गायकवृंदाने गायलेल्या प्रार्थनेचा आवाज वाढला, तर समारंभात सहभागी झालेल्यांनी उत्साहात टाळ्या वाजवल्या.","Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","एक सहा महिन्यांच्या बछड्याला तपासणीसाठी सादर केले गेले होते, ज्यावर जन्मतःच चारही पायांवर लंगडेपणाची लक्षणे दिसून आली होती.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,नियोजन प्राधिकरणांनी निवासी भागातून लहान व्यवसायांसाठी पर्यायी ठिकाणे उपलब्ध करून द्यावीत.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
As the machine develops the forms we use to record data from past projects will be amended.,यंत्र विकसित होत असताना आपण भूतकाळात केलेल्या प्रकल्पांचे डेटा रेकॉर्ड करण्यासाठी वापरलेल्या फॉर्ममध्ये सुधारणा केली जाईल.,"As the machine develops, the forms we use to record data from past projects will be amended.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील."
"As mentioned, first impressions can be misleading.","इंग्रजीमध्ये नमूद केल्याप्रमाणे, पहिल्या छापांवर विश्वास ठेवता येत नाही.","As mentioned first, impressions can be misleading.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,विधानसभा लोड करण्यापूर्वी स्वच्छ असेंब्ली टेबल मिळवा.,"To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,"कार्यकर्ते, जे सहमत झालेल्या तारखांपासून लक्षणीय विचलन करतात त्यांची माहिती देण्यात विलंब करत आहेत. त्यामुळे वेळेत कारवाई करता येत नाही.","Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,हे ग्लायकोन्स कमी हस्तांतरित होतात ज्यामुळे रिक्त ग्लायकन अनुक्रमाचे निर्माण होते.,"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","X हा प्रभावी तीव्रता आहे, जी डोकेदुखीसाठी त्वरित कृती करते.","X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,"इंग्रजी इनपुटः माझ्या तज्ञांच्या मते, कोणत्याही वर्तमानपत्राची पूर्णपणे निष्पक्षता नाही.","No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,"स्टीम हे उदाहरणाप्रमाणेच सामग्रीला हानी पोहोचवते, ती जशी आम्लाच्या बाबतीत असते तशीच.","Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार म्हणजे व्हर्दी, पुच्चीनी, मोजार्ट आणि गिल्बर्ट अँड सुलिव्हन.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,"नवीन प्रकल्प स्थापन केलेल्या वाळवंटात, चांगल्या रस्त्यांचा अभाव हा एकमेव प्रश्न आहे.","The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.
Having failed in all previous attempts he evolved a new plan which surprised everybody.,"पूर्वीच्या सर्व प्रयत्नांनंतर तो अयशस्वी झाला होता, त्यामुळे त्याने एक नवीन योजना आखली जी सर्वांना आश्चर्यचकित करून गेली.","Having failed in all previous attempts, he evolved a new plan which surprised everybody.","मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली, ज्यामुळे सर्वांना आश्चर्य वाटले."
When the film was developed none of the pictures proved satisfactory.,जेव्हा चित्रपट विकसित केला गेला तेव्हा कोणत्याही चित्रांनी समाधानकारक परिणाम दिले नाहीत.,"When the film was developed, none of the pictures proved satisfactory.",फिल्म डेव्हलप झाल्यावर एकही फोटो समाधानकारक निघाला नाही.
The school has adequate study facilities but hardly any sports facilities.,शाळेत अभ्यासासाठी पुरेशी सुविधा आहेत पण खेळांसाठी फार कमी सुविधा उपलब्ध आहेत.,"The school has adequate study facilities, but hardly any sports facilities.","शाळेत अभ्यासासाठी पुरेशा सुविधा आहेत, पण क्रीडा सुविधा जवळजवळ नाहीतच."
In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,"त्याच्या दैनंदिन वाहतुकीत, काहिरीतील रहिवासी अनेकदा प्रदूषणाने ग्रासला जातो.","In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.",त्याच्या दैनंदिन प्रवासात कैरोच्या रहिवाशाला गुदमरवून टाकणाऱ्या प्रदूषणाची वारंवार जाणीव होते.
If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,"जर नाटकात संघर्ष आणि काव्यचित्रण असेल तर त्यात रूपक नाटक असावे, जे रूपकाद्वारे संवाद साधते!","If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!","जर नाटक संघर्ष सूचित करत असेल, आणि कविता रूपक सूचित करत असेल, तर काव्य नाटक निश्चितपणे रूपकाचे नाट्यीकरण सूचित करते!"
Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,वस्तू ज्ञान नेटवर्कचे नोड्स म्हणून काम करतात आणि वापरकर्त्याने परिभाषित केलेले संबंध दुवे म्हणून कार्य करतात.,"Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.","वस्तू ज्ञानाच्या नेटवर्कचे नोड्स म्हणून कार्य करतात, आणि वापरकर्त्याने परिभाषित केलेले रिलॅटर्स वस्तूंमधील दुवे म्हणून कार्य करतात."
A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,एक तांत्रिक ग्रंथांचे भाषांतरक अनेकदा मोठ्या प्रमाणात माहिती हाताळतात आणि ते सहज उपलब्ध करून देण्यासाठी ती साठवणे आवश्यक असते.,"A translator of technical texts often has to handle large amounts of information, and needs to ensure that it is stored in an easily retrievable form.",तांत्रिक ग्रंथांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहज उपलब्ध होईल अशा स्वरूपात साठवली जाईल याची खात्री करावी लागते.
The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,गणक यंत्राने निवडलेल्या कार्यांची अंमलबजावणी केली आणि परिणाम शीर्षस्थानी प्रदर्शित केले.,"The calculator executed the functions that had been selected, and displayed the results on the top half of the screen.",कॅल्क्युलेटरने निवडलेली कार्ये पार पाडली आणि परिणाम स्क्रीनच्या वरच्या अर्ध्या भागावर प्रदर्शित केले.
