Sentence,Response,sent_meant,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,"गायकवृंदने भजनं गातो, सभाउन्नतवाणें उचलत;","Chanting, the choir raised the volume as the celebrant intoned the prayer.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","एक सहा महिन्याचा बछडा दाखल करण्यात आला होता, सर्व चार पायांवर लंगडेपणा दिसून येत आहे जो जन्मापासूनच उपस्थित असल्याचे दिसते.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,नियोजन प्राधिकरणांनी निवासी भागात अयोग्य असलेल्या छोट्या व्यवसायांसाठी पर्यायी ठिकाणे उपलब्ध करून द्यावीत.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
As the machine develops the forms we use to record data from past projects will be amended.,भूतकाळातील प्रकल्पांमधून डेटा रेकॉर्ड करण्यासाठी वापरले जाणारे फॉर्म विकसित केले जातील.,"As the machine develops, the forms we use to record data from past projects will be amended.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील."
To get a clean assembly load the assembled equals table before the assembly is run.,असें करून विधानसभेचे विधानसभा लोड करण्यापूर्वी स्वच्छ करा.,"To get a clean assembly, load the assembled equals table before the assembly is run.","स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,"निष्पादक विलंबित देत आहे, जे सहमतीच्या तारखांपासून लक्षणीय विचलन आहेत. कारण या कृतीची वेळ नाही.","Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,हे ग्लायकोसें अयोग्यरित्या हस्तांतरित होतात परिणामी रिक्त ग्लायकन अनुक्रम असतात.,"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action",X हा तीव्र डोकेदुखीसाठी प्रभावी आहे.,"X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,No वृत्तपत्र पूर्णपणे निष्पक्ष नाही माझ्या मते तज्ञांच्या मतानुसार.,"No newspaper is completely unbiased, in my expert opinion.","माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,स्टीम हा पदार्थाप्रमाणेच हानिकारक आहे.,"Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
